fastq_file	fastq_short_name	seq_round	flowcell	sample_id	plate	well	lane	read	aligned
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A01_S1_L001_R1_001.fastq.gz	HD01_02_A01_S1_L001_R1_001	HD01	1	HD01_02_A01	02	A01	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A01_S1_L001_R2_001.fastq.gz	HD01_02_A01_S1_L001_R2_001	HD01	1	HD01_02_A01	02	A01	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A01_S1_L002_R1_001.fastq.gz	HD01_02_A01_S1_L002_R1_001	HD01	1	HD01_02_A01	02	A01	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A01_S1_L002_R2_001.fastq.gz	HD01_02_A01_S1_L002_R2_001	HD01	1	HD01_02_A01	02	A01	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A02_S98_L001_R1_001.fastq.gz	HD01_02_A02_S98_L001_R1_001	HD01	1	HD01_02_A02	02	A02	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A02_S98_L001_R2_001.fastq.gz	HD01_02_A02_S98_L001_R2_001	HD01	1	HD01_02_A02	02	A02	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A02_S98_L002_R1_001.fastq.gz	HD01_02_A02_S98_L002_R1_001	HD01	1	HD01_02_A02	02	A02	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A02_S98_L002_R2_001.fastq.gz	HD01_02_A02_S98_L002_R2_001	HD01	1	HD01_02_A02	02	A02	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A03_S3_L001_R1_001.fastq.gz	HD01_02_A03_S3_L001_R1_001	HD01	1	HD01_02_A03	02	A03	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A03_S3_L001_R2_001.fastq.gz	HD01_02_A03_S3_L001_R2_001	HD01	1	HD01_02_A03	02	A03	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A03_S3_L002_R1_001.fastq.gz	HD01_02_A03_S3_L002_R1_001	HD01	1	HD01_02_A03	02	A03	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A03_S3_L002_R2_001.fastq.gz	HD01_02_A03_S3_L002_R2_001	HD01	1	HD01_02_A03	02	A03	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A04_S100_L001_R1_001.fastq.gz	HD01_02_A04_S100_L001_R1_001	HD01	1	HD01_02_A04	02	A04	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A04_S100_L001_R2_001.fastq.gz	HD01_02_A04_S100_L001_R2_001	HD01	1	HD01_02_A04	02	A04	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A04_S100_L002_R1_001.fastq.gz	HD01_02_A04_S100_L002_R1_001	HD01	1	HD01_02_A04	02	A04	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A04_S100_L002_R2_001.fastq.gz	HD01_02_A04_S100_L002_R2_001	HD01	1	HD01_02_A04	02	A04	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A05_S5_L001_R1_001.fastq.gz	HD01_02_A05_S5_L001_R1_001	HD01	1	HD01_02_A05	02	A05	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A05_S5_L001_R2_001.fastq.gz	HD01_02_A05_S5_L001_R2_001	HD01	1	HD01_02_A05	02	A05	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A05_S5_L002_R1_001.fastq.gz	HD01_02_A05_S5_L002_R1_001	HD01	1	HD01_02_A05	02	A05	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A05_S5_L002_R2_001.fastq.gz	HD01_02_A05_S5_L002_R2_001	HD01	1	HD01_02_A05	02	A05	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A06_S102_L001_R1_001.fastq.gz	HD01_02_A06_S102_L001_R1_001	HD01	1	HD01_02_A06	02	A06	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A06_S102_L001_R2_001.fastq.gz	HD01_02_A06_S102_L001_R2_001	HD01	1	HD01_02_A06	02	A06	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A06_S102_L002_R1_001.fastq.gz	HD01_02_A06_S102_L002_R1_001	HD01	1	HD01_02_A06	02	A06	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A06_S102_L002_R2_001.fastq.gz	HD01_02_A06_S102_L002_R2_001	HD01	1	HD01_02_A06	02	A06	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A07_S7_L001_R1_001.fastq.gz	HD01_02_A07_S7_L001_R1_001	HD01	1	HD01_02_A07	02	A07	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A07_S7_L001_R2_001.fastq.gz	HD01_02_A07_S7_L001_R2_001	HD01	1	HD01_02_A07	02	A07	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A07_S7_L002_R1_001.fastq.gz	HD01_02_A07_S7_L002_R1_001	HD01	1	HD01_02_A07	02	A07	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A07_S7_L002_R2_001.fastq.gz	HD01_02_A07_S7_L002_R2_001	HD01	1	HD01_02_A07	02	A07	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A08_S104_L001_R1_001.fastq.gz	HD01_02_A08_S104_L001_R1_001	HD01	1	HD01_02_A08	02	A08	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A08_S104_L001_R2_001.fastq.gz	HD01_02_A08_S104_L001_R2_001	HD01	1	HD01_02_A08	02	A08	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A08_S104_L002_R1_001.fastq.gz	HD01_02_A08_S104_L002_R1_001	HD01	1	HD01_02_A08	02	A08	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A08_S104_L002_R2_001.fastq.gz	HD01_02_A08_S104_L002_R2_001	HD01	1	HD01_02_A08	02	A08	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A09_S9_L001_R1_001.fastq.gz	HD01_02_A09_S9_L001_R1_001	HD01	1	HD01_02_A09	02	A09	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A09_S9_L001_R2_001.fastq.gz	HD01_02_A09_S9_L001_R2_001	HD01	1	HD01_02_A09	02	A09	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A09_S9_L002_R1_001.fastq.gz	HD01_02_A09_S9_L002_R1_001	HD01	1	HD01_02_A09	02	A09	L002	R1	FALSE
